,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
117,Asus,CX1101CMA-GJ0004 Chromebook,10990,,Intel Celeron  N4020,"Dual Core, 2 Threads",4GB,LPDDR4,32GB,Hard-Disk,Intel UHD Graphics 600,11.6,1366,768,Chrome OS,1
118,MSI,Katana 15 B13UDXK-1482IN Gaming Laptop,88990,75.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",32GB,DDR5,1TB,SSD,6GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,2
119,Primebook,S Wi-Fi Laptop,10990,,MediaTek MT8183,Octa Core,4GB,LPDDR4,128GB,Hard-Disk,ARM Mali G72,11.6,1366,768,,1
121,HP,15s-fy5007TU Laptop,54990,62.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
122,Lenovo,ThinkBook 15 G5 21JFA00BIN Laptop,49990,70.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",8GB,DDR4,512GB,SSD,AMD Radeon AMD,15.6,1920,1080,Windows 11 OS,1
124,Asus,Vivobook 16 2023 X1605VA-MB947WS Laptop,80739,71.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16GB,DDR4,512GB,SSD,Integrated Intel Iris Xe Graphics,16,1920,1200,Windows 11 OS,1
125,Lenovo,Thinkpad E15 G4 21DJA0Y0IN Laptop,62990,64.0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Iris Xe,15.6,1920,1080,Windows 11 OS,1
126,HP,Victus 15-fa1132TX Laptop,62990,66.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
127,HP,Victus 15-fb1017AX Gaming Laptop,69501,71.0,7th Gen Amd Ryzen 5 7535HS,"Hexa Core, 12 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
129,Lenovo,IdeaPad Slim 5 14IAH8 83BF000UIN Laptop,59990,,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,LPDDR5,512GB,SSD,Intel UHD Graphics,14,1920,1080,Windows 11 OS,1
131,HP,Victus 15-fb1015AX Gaming Laptop,54990,69.0,7th Gen Amd Ryzen 5 7535HS,"Hexa Core, 12 Threads",8GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
136,Lenovo,LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop,64990,69.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
138,MSI,Modern 15 B12M-612IN Laptop,37729,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Iris Xe,15.6,1920,1080,Windows 11 OS,1
139,Lenovo,IdeaPad Gaming 3 82K2025MIN Laptop,50712,69.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,1
140,MSI,Modern 14 C11M-029IN Laptop,44990,62.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
141,Chuwi,CoreBook X Laptop,23990,,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,14,1920,1200,Windows 11 OS,1
142,HP,15s-ey2001AU Laptop,49990,63.0,5th Gen AMD Ryzen 7   5700U,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Radeon,15.6,1920,1080,Windows 11 OS,1
144,HP,Pavilion 15-eg3079TU Laptop,72990,66.0,13th Gen Intel Core i5 1340p,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
145,Lenovo,IdeaPad Slim 3 82H803B6IN Laptop,52101,66.0,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
146,Infinix,INBook X2 Slim Series Laptop,28990,,11th Gen Intel Core i3  1115G4,"Dual Core, 4 Threads",8GB,LPDDR4X,512GB,SSD,Intel Integrated UHD Graphics,14,1920,1080,Windows 11 OS,1
147,HP,Pavilion 15s-fq5190TU Laptop,69490,65.0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1
148,Acer,Aspire 5 A515-58P NX.KHJSI.001 Gaming Laptop,39965,,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8GB,LPDDR5,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
