Model,R2 Score,Adj R2,MAE (Price),MSE (Price),RMSE (Price),MAPE
Tuned Stacked Generalizer (Ensemble),0.9096075166248403,0.8827215472106902,8450.476612322618,231707019.8169343,15221.92562775598,0.13790610594564007
Tuned CatBoost,0.9088678506249461,0.8817618779903147,8381.525020611993,231766686.07575047,15223.885380406358,0.1365233274618869
Tuned Gradient Boosting,0.9013559010159935,0.8720156049079301,8816.11840378066,271821037.57103425,16486.99601416323,0.1428218265208395
Tuned XGBoost,0.8996180402223799,0.8697608419295493,9020.210191190945,262356571.55327895,16197.424843266876,0.14636670254966036
Tuned Random Forest,0.8968613931297669,0.8661842690350309,9349.17821263949,282258430.51580983,16800.54851830171,0.1459591255590193
Tuned SVR,0.8903104624745941,0.8576848564413965,9377.277939715625,225382420.26000035,15012.74193010725,0.15889960660113386
Tuned Extra Trees,0.8802541560033472,0.8446374434299838,9915.242209814984,307631435.3710286,17539.425172195028,0.15986496752767454
