iter	Passed	Remaining
148	794	4539
149	797	4521
150	801	4504
151	804	4488
152	807	4470
153	809	4448
154	813	4432
155	815	4412
156	818	4393
1157	824	4395158	824	4360
1159	830	4362160	830	4329
161	833	4313
162	838	4305
163	843	4297
164	847	4290
165	851	4278
166	853	4259
167	859	4254
168	865	4256
169	868	4238
170	870	4217
171	872	4201
172	876	4189
173	879	4173
174	881	4156
175	884	4141
176	891	4144
177	893	4127
178	896	4111
179	901	4105
180	904	4092
181	907	4080
182	911	4067
183	914	4055
184	921	4057
185	924	4048
186	928	4035
187	931	4024
188	937	4020
189	940	4010
190	943	3994
191	947	3989
192	951	3976
193	954	3964
194	958	3957
195	970	3982
196	973	3969
197	977	3958
198	982	3953
199	985	3941
200	988	3930
201	991	3918
202	995	3906
203	998	3895
204	1001	3884
205	1006	3881
206	1009	3866
207	1014	3864
208	1015	3845
209	1018	3832
210	1025	3834
211	1028	3824
212	1032	3814
213	1035	3802
214	1038	3792
215	1041	3781
216	1044	3770
217	1056	3791
218	1058	3775
219	1061	3762
220	1064	3753
221	1067	3742
222	1070	3730
223	1073	3718
224	1075	3705
225	1079	3696
226	1081	3684
227	1084	3671
228	1087	3660
229	1089	3648
230	1095	3648
231	1108	3670
232	1111	3659
233	1115	3650
234	1118	3640
235	1122	3635
236	1125	3623
237	1128	3612
238	1132	3604
239	1146	3629
240	1158	3647
241	1168	3660
242	1175	3661
243	1186	3676
244	1187	3660
245	1189	3645
246	1191	3633
247	1208	3663
248	1215	3665
249	1219	3658
250	1222	3647
251	1224	3635
252	1229	3630
253	1238	3638
254	1249	3651
255	1256	3650
256	1264	3655
257	1275	3669
258	1278	3659
259	1284	3655
260	1288	3647
261	1290	3635
262	1293	3624
263	1295	3612
264	1298	3600
265	1320	3644
266	1323	3634
267	1326	3623
268	1328	3611
269	1338	3618
270	1341	3608
271	1344	3599
272	1348	3591
273	1351	3581
274	1354	3572
275	1358	3563
276	1360	3552
277	1363	3541
278	1366	3531
279	1369	3521
280	1372	3512
281	1376	3503
282	1397	3539
283	1398	3526
284	1401	3516
285	1403	3505
286	1418	3523
287	1421	3514
288	1424	3503
289	1426	3492
290	1429	3482
291	1433	3476
292	1437	3469
293	1440	3459
294	1442	3448
295	1445	3438
296	1449	3429
297	1453	3424
298	1456	3413
299	1458	3403
300	1461	3393
301	1464	3384
302	1467	3375
303	1470	3366
304	1473	3358
305	1486	3371
306	1489	3361
307	1492	3352
308	1501	3358
309	1504	3348
310	1507	3340
311	1510	3331
312	1513	3322
313	1516	3314
314	1520	3305
315	1523	3296
316	1541	3321
317	1544	3312
318	1547	3304
319	1550	3295
320	1553	3286
321	1556	3278
322	1560	3270
323	1563	3262
324	1566	3253
325	1569	3245
326	1572	3237
327	1577	3231
328	1579	3222
329	1583	3215
330	1586	3207
331	1590	3199
332	1593	3191
333	1596	3183
334	1599	3174
335	1602	3166
336	1605	3158
337	1608	3149
338	1611	3141
339	1613	3132
340	1616	3124
341	1619	3115
342	1625	3114
343	1632	3113
344	1635	3105
345	1637	3096
346	346	1635	3347	347	1643	3348	348	1645	3349	349	1648	3350	1660	3070
351	1663	3063
352	1667	3055
353	1670	3048
354	1674	3041
355	1688	3055
356	1695	3053
357	1698	3046
358	1702	3039
359	1705	3032
360	1709	3025
361	1712	3018
362	1715	3011
363	1719	3003
364	1722	2996
365	1728	2993
366	1730	2984
367	1733	2976
368	1735	2968
369	1742	2967
370	1745	2959
371	1747	2950
372	1750	2942
373	1754	2937
374	1759	2932
375	1762	2925
376	1765	2917
377	1768	2910
378	1771	2903
379	1774	2895
380	1777	2888
381	1780	2880
382	1785	2875
383	1787	2867
384	1790	2859
385	1793	2852
386	1802	2854
387	1807	2851
388	1811	2844
389	1814	2837
390	1817	2830
391	1820	2823
392	1823	2816
393	1826	2808
394	1834	2809
395	1837	2802
396	1840	2795
397	1842	2787
398	1847	2782
399	1850	2775
400	1853	2768
401	1857	2762
402	1859	2755
403	1862	2747
404	1865	2741
405	1872	2739
406	1875	2733
407	1879	2726
408	1882	2719
409	1886	2714
410	1888	2706
411	1891	2700
412	1897	2696
413	1905	2696
414	1908	2689
415	1910	2681
416	1914	2677
417	1917	2670
418	1921	2663
419	1924	2657
420	1926	2649
421	1935	2651
422	1940	2646
423	1942	2639
424	1945	2632
425	1948	2624
426	1951	2618
427	1954	2611
428	1957	2605
429	1964	2604
430	1967	2597
431	1971	2592
432	1974	2586
433	1979	2581
434	1983	2576
435	1987	2570
436	1990	2564
437	1993	2558
438	2011	2570
439	2018	2568
440	2020	2561
441	2023	2554
442	2027	2549
443	2031	2543
444	2034	2537
445	2038	2532
446	2041	2525
447	2044	2518
448	2047	2512
449	2051	2506
450	2055	2501
451	2060	2497
452	2063	2491
453	2066	2484
454	2070	2479
455	2073	2473
456	2076	2467
457	457	2074	2458	2082	2455
459	2086	2448
460	2088	2442
461	461	2086	2462	2096	2431
463	2099	2425
464	2105	2422
465	2108	2416
466	2113	2411
467	2115	2405
468	2118	2398
469	2121	2392
470	2128	2390
471	471	2128	2472	472	2132	2473	473	2136	2474	2147	2373
475	2151	2368
476	2167	2376
477	2177	2377
478	2199	2392
479	2203	2387
480	2207	2382
481	2216	2382
482	2221	2377
483	2224	2371
484	2227	2365
485	2229	2358
486	2232	2351
487	2235	2345
488	2239	2340
489	2241	2333
490	2243	2325
491	2246	2319
492	2249	2313
493	2252	2307
494	2255	2300
495	2259	2295
496	2263	2290
497	2272	2290
498	2278	2287
499	2280	2280
500	2284	2275
501	2287	2269
502	2290	2263
503	2294	2257
504	2297	2251
505	2300	2245
506	2303	2239
507	2306	2233
508	2308	2227
509	2311	2220
510	2313	2213
511	2316	2207
512	2319	2201
513	2322	2195
514	2324	2189
515	2327	2182
516	2329	2176
517	2332	2170
518	2335	2164
519	2337	2157
520	2339	2151
521	2343	2145
522	2345	2139
523	2349	2134
524	2352	2128
525	2354	2122
526	2357	2116
527	2360	2110
528	2362	2103
529	2365	2097
530	2368	2091
531	2370	2085
532	2374	2080
533	2379	2076
534	2382	2070
535	2384	2063
536	2386	2057
537	2389	2052
538	2392	2046
539	2395	2040
540	2398	2034
541	2401	2029
542	2403	2022
543	2405	2016
544	2407	2010
545	2409	2003
546	2412	1998
547	2415	1992
548	2417	1985
549	2419	1979
550	2422	1973
551	2424	1967
552	2426	1961
553	2429	1955
554	2432	1949
555	2434	1943
556	2436	1937
557	2438	1931
558	2441	1925
559	2443	1919
560	2445	1913
561	2448	1908
562	2450	1902
563	2453	1896
564	2455	1890
565	2458	1884
566	2460	1879
567	2463	1873
568	2466	1868
569	2468	1861
570	2470	1856
571	2473	1850
572	2475	1844
573	2477	1838
574	2480	1833
575	2482	1827
576	2485	1821
577	2487	1815
578	2489	1809
579	2491	1803
580	2493	1798
581	2495	1792
582	2497	1786
583	2500	1780
584	2502	1775
585	2505	1769
586	2507	1764
587	2509	1758
588	2511	1752
589	2513	1746
590	2516	1741
591	2518	1735
592	2520	1729
593	2523	1724
594	2525	1719
595	2528	1714
596	2530	1708
597	2532	1702
598	2535	1697
599	2537	1691
600	2540	1686
601	2542	1680
602	2544	1675
603	2547	1670
604	2549	1664
605	2552	1659
606	2554	1653
607	2557	1648
608	2559	1643
609	2562	1638
610	2564	1632
611	2567	1627
612	2569	1622
613	2573	1617
614	2575	1612
615	2578	1607
616	2580	1601
617	2582	1596
618	2584	1590
619	2587	1585
620	2589	1580
621	2591	1575
622	2594	1570
623	2596	1564
624	2599	1559
625	2602	1554
626	2604	1549
627	2607	1544
628	2609	1539
629	2611	1534
630	2613	1528
631	2615	1523
632	2618	1518
633	2620	1512
634	2622	1507
635	2624	1502
636	2627	1497
637	2629	1492
638	2632	1487
639	2635	1482
640	2638	1477
641	2640	1472
642	2643	1467
643	2645	1462
644	2649	1458
645	2652	1453
646	2653	1447
647	2656	1443
648	2659	1438
649	2661	1433
650	2663	1427
651	2665	1422
652	2667	1417
653	2670	1412
654	2672	1407
655	2675	1402
656	2677	1397
657	2680	1392
658	2682	1388
659	2685	1383
660	2687	1378
661	2689	1373
662	2692	1368
663	2695	1364
664	2697	1359
665	2700	1354
666	2702	1349
667	2704	1344
668	2706	1339
669	2709	1334
670	2711	1329
671	2713	1324
672	2715	1319
673	2718	1314
674	2720	1309
675	2723	1305
676	2725	1300
677	2727	1295
678	2729	1290
679	2731	1285
680	2734	1280
681	2736	1275
682	2738	1271
683	2741	1266
684	2743	1261
685	2745	1256
686	2747	1251
687	2749	1247
688	2752	1242
689	2754	1237
690	2757	1233
691	2759	1228
692	2761	1223
693	2764	1218
694	2766	1214
695	2768	1209
696	2771	1204
697	2773	1200
698	2775	1195
699	2778	1190
700	2780	1186
701	2782	1181
702	2785	1176
703	2787	1172
704	2790	1167
705	2792	1162
706	2794	1158
707	2797	1153
708	2799	1148
709	2802	1144
710	2805	1140
711	2807	1135
712	2809	1130
713	2811	1126
714	2814	1121
715	2816	1117
716	2819	1112
717	2821	1108
718	2824	1103
719	2826	1099
720	2828	1094
721	2830	1089
722	2835	1086
723	2837	1081
724	2840	1077
725	2842	1072
726	2844	1068
727	2846	1063
728	2847	1058
729	2850	1054
730	2852	1049
731	2855	1045
732	2857	1040
733	2859	1036
734	2861	1031
735	2864	1027
736	2866	1023
737	2869	1018
738	2871	1014
739	2874	1009
740	2876	1005
741	2878	1000
742	2880	996
743	2882	991
744	2885	987
745	2888	983
746	2892	979
747	2894	975
748	2896	970
749	2898	966
750	2901	961
751	2903	957
752	2905	953
753	2907	948
754	2909	944
755	2912	939
756	2914	935
757	2916	931
758	2918	926
759	2920	922
760	2922	917
761	2925	913
762	2927	909
763	2930	905
764	2932	900
765	2934	896
766	2936	891
767	2938	887
768	2940	883
769	2942	878
770	2944	874
771	2947	870
772	2949	866
773	2953	862
774	2955	857
775	2957	853
776	2959	849
777	2962	845
778	2964	840
779	2966	836
780	2969	832
781	2971	828
782	2973	824
783	2975	819
784	2977	815
785	2980	811
786	2982	807
787	2985	803
788	2987	798
789	2989	794
790	2992	790
791	2994	786
792	2996	782
793	2999	778
794	3001	773
795	3003	769
796	3005	765
797	3007	761
798	3009	757
799	3011	752
800	3013	748
801	3016	744
802	3018	740
803	3021	736
804	3023	732
805	3026	728
806	3028	724
807	3030	720
808	3033	716
809	3035	712
810	3037	707
811	3039	703
812	3041	699
813	3042	695
814	3045	691
815	3047	687
816	3050	683
817	3052	679
818	3054	675
819	3056	670
820	3058	666
821	3060	662
822	3063	658
823	3065	654
824	3068	650
825	3070	646
826	3072	642
827	3074	638
828	3076	634
829	3078	630
830	3080	626
831	3083	622
832	3085	618
833	3087	614
834	3089	610
835	3091	606
836	3093	602
837	3096	598
838	3098	594
839	3100	590
840	3103	586
841	3104	582
842	3107	578
843	3109	574
844	3111	570
845	3113	566
846	3116	562
847	3118	559
848	3121	555
849	3123	551
850	3125	547
851	3128	543
852	3130	539
853	3133	535
854	3135	531
855	3138	528
856	3141	524
857	3143	520
858	3145	516
859	3148	512
860	3150	508
861	3152	504
862	3155	500
863	3157	497
864	3159	493
865	3161	489
866	3163	485
867	3166	481
868	3168	477
869	3170	473
870	3173	469
871	3175	466
872	3179	462
873	3182	458
874	3184	454
875	3186	451
876	3188	447
877	3190	443
878	3192	439
879	3194	435
880	3197	431
881	3199	428
882	3202	424
883	3205	420
884	3207	416
885	3210	413
886	3212	409
887	3214	405
888	3217	401
889	3219	397
890	3221	394
891	3223	390
892	3225	386
893	3227	382
894	3229	378
895	3232	375
896	3234	371
897	3237	367
898	3239	363
899	3241	360
900	3243	356
901	3246	352
902	3249	349
903	3252	345
904	3254	341
905	3257	337
906	3259	334
907	3262	330
908	3264	326
909	3267	323
910	3270	319
911	3272	315
912	3275	312
913	3277	308
914	3280	304
915	3283	301
916	3285	297
917	3287	293
918	3289	289
919	3291	286
920	3293	282
921	3294	278
922	3296	275
923	3298	271
924	3300	267
925	3302	263
926	3304	260
927	3306	256
928	3308	252
929	3310	249
930	3312	245
931	3314	241
932	3315	238
933	3316	234
934	3318	230
935	3319	226
936	3321	223
937	3322	219
938	3324	215
939	3325	212
940	3327	208
941	3329	204
942	3331	201
943	3332	197
944	3334	194
945	3336	190
946	3337	186
947	3339	183
948	3340	179
949	3342	175
950	3343	172
951	3345	168
952	3347	165
953	3349	161
954	3350	157
955	3352	154
956	3353	150
957	3355	147
958	3356	143
959	3358	139
960	3360	136
961	3362	132
962	3363	129
963	3365	125
964	3366	122
965	3368	118
966	3369	114
967	3370	111
968	3372	107
969	3373	104
970	3375	100
971	3376	97
972	3378	93
973	3379	90
974	3381	86
975	3382	83
976	3383	79
977	3385	76
978	3386	72
979	3388	69
980	3390	65
981	3392	62
982	3395	58
983	3396	55
984	3398	51
985	3399	48
986	3401	44
987	3403	41
988	3404	37
989	3406	34
990	3407	30
991	3409	27
992	3410	24
993	3412	20
994	3413	17
995	3414	13
996	3416	10
997	3417	6
998	3418	3
999	3419	0
0
